item_id,category,color,fabric,occasion,total_wear_count,current_cycle_wears,max_wears_before_wash,status,sustainability_score
SLW-0044,Vest,White,Cotton,Home,135,0,2,Clean,10.0
SLW-0045,Saree,Green,Silk,Religious,9,1,4,Clean,88.75
SLW-0046,Kurti,Yellow,Silk,Religious,10,0,4,Clean,87.5
SLW-0047,Jeans,Black,Denim,Casual,84,4,5,Clean,72.0
SLW-0048,Jacket,Black,Polyester,Casual,95,2,3,Clean,52.5
SLW-0049,Trouser,Black,Cotton,Casual,90,2,2,Dirty,40.0
SLW-0050,Trouser,Grey,Cotton,Casual,75,2,2,Dirty,50.0
SLW-0051,Vest,Grey,Cotton,Home,140,2,2,Dirty,6.67
SLW-0052,Batik Shirt,Multicolor,Batik,Office,47,2,3,Clean,53.0
SLW-0053,Saree,Red,Cotton,Casual,83,1,2,Clean,44.67
SLW-0054,Salwar,Pink,Silk,Wedding,3,2,4,Clean,96.25
SLW-0055,Jacket,Grey,Polyester,Casual,95,0,3,Clean,52.5
SLW-0056,Blouse,Gold,Silk,Wedding,3,4,4,Dirty,96.25
SLW-0057,Saree,Gold,Silk,Religious,10,2,4,Clean,87.5
SLW-0058,School Uniform,White,Cotton,Office,48,2,2,Dirty,68.0
SLW-0059,Kurti,Yellow,Silk,Religious,12,2,4,Clean,85.0
SLW-0060,Sarong,Blue,Cotton,Home,145,0,2,Clean,3.33
SLW-0061,Jacket,Navy,Denim,Casual,84,2,5,Clean,72.0
SLW-0062,Sarong,Brown,Batik,Casual,86,1,3,Clean,14.0
SLW-0063,Batik Shirt,Multicolor,Batik,Casual,80,0,3,Clean,20.0
SLW-0064,Blouse,Gold,Silk,Wedding,2,0,4,Clean,97.5
SLW-0065,Saree,Purple,Silk,Religious,13,3,4,Clean,83.75
SLW-0066,Saree,Purple,Cotton,Casual,97,1,2,Clean,35.33
SLW-0067,Blouse,Blue,Cotton,Casual,87,2,2,Dirty,42.0
SLW-0068,National Dress,Gold,Cotton,Religious,13,2,2,Dirty,91.33
SLW-0069,Salwar,Blue,Cotton,Casual,90,0,2,Clean,40.0
SLW-0070,Jeans,Grey,Denim,Casual,83,5,5,Dirty,72.33
SLW-0071,Shirt,Pink,Linen,Office,52,1,2,Clean,56.67
SLW-0072,Batik Shirt,Brown,Batik,Office,59,1,3,Clean,41.0
SLW-0073,Batik Shirt,Blue,Batik,Casual,87,2,3,Clean,13.0
SLW-0074,Kurti,Green,Cotton,Casual,98,2,2,Dirty,34.67
SLW-0075,Kurti,Blue,Cotton,Casual,69,0,2,Clean,54.0
SLW-0076,Batik Shirt,Brown,Batik,Casual,93,0,3,Clean,7.0
SLW-0077,Batik Shirt,Red,Batik,Casual,88,0,3,Clean,12.0
SLW-0078,Batik Shirt,Red,Batik,Casual,85,1,3,Clean,15.0
SLW-0079,Trouser,Navy,Cotton,Casual,88,1,2,Clean,41.33
SLW-0080,School Uniform,Blue,Cotton,Office,38,0,2,Clean,74.67
SLW-0081,National Dress,Cream,Silk,Wedding,2,3,4,Clean,97.5
SLW-0082,National Dress,White,Cotton,Religious,12,0,2,Clean,92.0
SLW-0083,Trouser,Grey,Cotton,Casual,98,1,2,Clean,34.67
SLW-0084,Shorts,Khaki,Cotton,Home,133,1,2,Clean,11.33
SLW-0085,Blouse,Red,Cotton,Casual,82,2,2,Dirty,45.33
SLW-0086,Trouser,Black,Cotton,Casual,84,2,2,Dirty,44.0
SLW-0087,Sarong,Blue,Batik,Casual,94,3,3,Dirty,6.0
SLW-0088,Kurtha,White,Cotton,Religious,12,0,2,Clean,92.0
SLW-0089,National Dress,Gold,Cotton,Religious,11,0,2,Clean,92.67
SLW-0090,Dress,Yellow,Cotton,Casual,91,0,2,Clean,39.33
SLW-0091,Saree,Green,Cotton,Casual,88,1,2,Clean,41.33
SLW-0092,National Dress,Cream,Silk,Wedding,3,0,4,Clean,96.25
SLW-0093,Kurtha,White,Cotton,Religious,10,2,2,Dirty,93.33
SLW-0094,Sarong,White,Batik,Casual,85,0,3,Clean,15.0
SLW-0095,Leggings,Black,Polyester,Home,134,1,3,Clean,33.0
SLW-0096,Shorts,Khaki,Cotton,Home,126,1,2,Clean,16.0
SLW-0097,National Dress,White,Cotton,Religious,12,1,2,Clean,92.0
SLW-0098,Saree,Red,Cotton,Casual,89,1,2,Clean,40.67
SLW-0099,Jeans,Black,Denim,Casual,88,2,5,Clean,70.67
SLW-0100,T-Shirt,Grey,Polyester,Casual,86,3,3,Dirty,57.0
SLW-0101,Trouser,Khaki,Cotton,Casual,78,2,2,Dirty,48.0
SLW-0102,Saree,Blue,Silk,Religious,11,1,4,Clean,86.25
SLW-0103,National Dress,Gold,Cotton,Religious,11,0,2,Clean,92.67
SLW-0104,Salwar,White,Silk,Wedding,2,4,4,Dirty,97.5
SLW-0105,Salwar,White,Silk,Wedding,2,2,4,Clean,97.5
SLW-0106,Sarong,Brown,Batik,Casual,90,3,3,Dirty,10.0
SLW-0107,Leggings,Black,Polyester,Home,153,1,3,Clean,23.5
SLW-0108,Jacket,Navy,Polyester,Casual,89,0,3,Clean,55.5
SLW-0109,Batik Shirt,Brown,Batik,Casual,89,0,3,Clean,11.0
SLW-0110,Jeans,Grey,Denim,Casual,87,0,5,Clean,71.0
SLW-0111,National Dress,Gold,Silk,Wedding,1,4,4,Dirty,98.75
SLW-0112,Sarong,Green,Batik,Casual,87,0,3,Clean,13.0
SLW-0113,Trouser,Grey,Cotton,Casual,88,2,2,Dirty,41.33
SLW-0114,Leggings,Black,Polyester,Home,157,2,3,Clean,21.5
SLW-0115,Trouser,Grey,Cotton,Casual,86,2,2,Dirty,42.67
SLW-0116,National Dress,Cream,Silk,Wedding,3,2,4,Clean,96.25
SLW-0117,Saree,Green,Silk,Religious,11,2,4,Clean,86.25
SLW-0118,Shirt,White,Cotton,Office,42,0,2,Clean,72.0
SLW-0119,Dress,Pink,Cotton,Casual,95,2,2,Dirty,36.67
SLW-0120,Batik Shirt,Brown,Batik,Office,54,0,3,Clean,46.0
SLW-0121,Jacket,Navy,Polyester,Casual,93,2,3,Clean,53.5
SLW-0122,Leggings,Black,Polyester,Home,130,2,3,Clean,35.0
SLW-0123,Jacket,Grey,Denim,Casual,97,1,5,Clean,67.67
SLW-0124,T-Shirt,Red,Polyester,Casual,78,1,3,Clean,61.0
SLW-0125,Blouse,Green,Silk,Wedding,3,4,4,Dirty,96.25
SLW-0126,Kurti,Blue,Silk,Religious,15,4,4,Dirty,81.25
SLW-0127,Trouser,Grey,Cotton,Casual,81,2,2,Dirty,46.0
SLW-0128,Leggings,Black,Polyester,Home,133,0,3,Clean,33.5
SLW-0129,T-Shirt,White,Cotton,Casual,88,0,2,Clean,41.33
SLW-0130,Salwar,Pink,Silk,Wedding,2,4,4,Dirty,97.5
SLW-0131,T-Shirt,Grey,Cotton,Casual,77,1,2,Clean,48.67
SLW-0132,National Dress,Cream,Cotton,Religious,12,2,2,Dirty,92.0
SLW-0133,National Dress,Gold,Cotton,Religious,10,2,2,Dirty,93.33
SLW-0134,Blouse,Blue,Cotton,Casual,91,1,2,Clean,39.33
SLW-0135,T-Shirt,White,Cotton,Casual,81,0,2,Clean,46.0
SLW-0136,Trouser,Grey,Linen,Office,59,1,2,Clean,50.83
SLW-0137,Sarong,Blue,Batik,Casual,82,0,3,Clean,18.0
SLW-0138,Vest,Black,Cotton,Home,135,0,2,Clean,10.0
SLW-0139,T-Shirt,Red,Cotton,Casual,93,0,2,Clean,38.0
SLW-0140,School Uniform,Blue,Cotton,Office,42,2,2,Dirty,72.0
SLW-0141,School Uniform,White,Cotton,Office,51,0,2,Clean,66.0
SLW-0142,Batik Shirt,Blue,Batik,Casual,97,1,3,Clean,3.0
SLW-0143,Blouse,Gold,Silk,Wedding,1,2,4,Clean,98.75
SLW-0144,Shorts,Black,Cotton,Home,139,0,2,Clean,7.33
SLW-0145,T-Shirt,White,Polyester,Casual,89,2,3,Clean,55.5
SLW-0146,Jacket,Navy,Denim,Casual,93,2,5,Clean,69.0
SLW-0147,Trouser,Black,Cotton,Casual,79,0,2,Clean,47.33
SLW-0148,Shirt,Pink,Linen,Office,42,2,2,Dirty,65.0
SLW-0149,Kurti,Green,Silk,Religious,12,1,4,Clean,85.0
SLW-0150,Blouse,Gold,Cotton,Casual,90,0,2,Clean,40.0
SLW-0151,Jacket,Black,Denim,Casual,89,3,5,Clean,70.33
SLW-0152,Saree,Blue,Cotton,Casual,90,2,2,Dirty,40.0
SLW-0153,Kurtha,Blue,Cotton,Religious,10,1,2,Clean,93.33
SLW-0154,Blouse,Gold,Cotton,Casual,89,2,2,Dirty,40.67
SLW-0155,T-Shirt,White,Cotton,Casual,90,0,2,Clean,40.0
SLW-0156,Jeans,Black,Denim,Casual,82,0,5,Clean,72.67
SLW-0157,National Dress,Cream,Silk,Wedding,4,1,4,Clean,95.0
SLW-0158,Shirt,Blue,Linen,Office,52,1,2,Clean,56.67
SLW-0159,National Dress,Gold,Silk,Wedding,2,0,4,Clean,97.5
SLW-0160,National Dress,Cream,Cotton,Religious,12,1,2,Clean,92.0
SLW-0161,T-Shirt,Blue,Cotton,Casual,81,0,2,Clean,46.0
SLW-0162,Shirt,Pink,Linen,Office,54,2,2,Dirty,55.0
SLW-0163,Trouser,Grey,Cotton,Casual,96,2,2,Dirty,36.0
SLW-0164,Sarong,Blue,Cotton,Home,131,0,2,Clean,12.67
SLW-0165,Saree,Blue,Cotton,Casual,94,2,2,Dirty,37.33
SLW-0166,Sarong,Brown,Batik,Casual,90,0,3,Clean,10.0
SLW-0167,Shorts,White,Cotton,Home,144,1,2,Clean,4.0
SLW-0168,Shorts,Black,Cotton,Home,149,2,2,Dirty,0.67
SLW-0169,Jeans,Blue,Denim,Casual,86,4,5,Clean,71.33
SLW-0170,T-Shirt,Red,Cotton,Casual,82,0,2,Clean,45.33
SLW-0171,Sarong,Brown,Cotton,Home,130,2,2,Dirty,13.33
SLW-0172,Trouser,Navy,Cotton,Casual,82,2,2,Dirty,45.33
SLW-0173,Shirt,White,Linen,Office,49,1,2,Clean,59.17
SLW-0174,Trouser,Grey,Cotton,Casual,90,1,2,Clean,40.0
SLW-0175,Trouser,Grey,Cotton,Casual,89,0,2,Clean,40.67
SLW-0176,Jacket,Brown,Polyester,Casual,93,2,3,Clean,53.5
SLW-0177,Shirt,Grey,Cotton,Office,50,1,2,Clean,66.67
SLW-0178,School Uniform,White,Cotton,Office,58,0,2,Clean,61.33
SLW-0179,Shorts,Khaki,Cotton,Home,135,2,2,Dirty,10.0
SLW-0180,Trouser,Navy,Cotton,Casual,107,2,2,Dirty,28.67
SLW-0181,Kurti,Pink,Silk,Religious,12,4,4,Dirty,85.0
SLW-0182,Jeans,Blue,Denim,Casual,81,4,5,Clean,73.0
SLW-0183,T-Shirt,Black,Polyester,Casual,80,2,3,Clean,60.0
SLW-0184,Shorts,White,Cotton,Home,141,2,2,Dirty,6.0
SLW-0185,Dress,Yellow,Cotton,Casual,86,1,2,Clean,42.67
SLW-0186,Trouser,Khaki,Cotton,Casual,92,0,2,Clean,38.67
SLW-0187,Kurtha,White,Cotton,Religious,12,2,2,Dirty,92.0
SLW-0188,Trouser,Grey,Cotton,Casual,87,0,2,Clean,42.0
SLW-0189,Jacket,Black,Polyester,Casual,82,2,3,Clean,59.0
SLW-0190,Blouse,Green,Silk,Wedding,1,1,4,Clean,98.75
SLW-0191,National Dress,White,Silk,Wedding,2,1,4,Clean,97.5
SLW-0192,Sarong,Cream,Cotton,Home,144,0,2,Clean,4.0
SLW-0193,Dress,Red,Silk,Wedding,3,4,4,Dirty,96.25
SLW-0194,Dress,Pink,Cotton,Casual,79,1,2,Clean,47.33
SLW-0195,National Dress,Gold,Cotton,Religious,12,2,2,Dirty,92.0
SLW-0196,Jeans,Black,Denim,Casual,90,3,5,Clean,70.0
SLW-0197,National Dress,Gold,Silk,Wedding,2,1,4,Clean,97.5
SLW-0198,Salwar,White,Cotton,Casual,89,0,2,Clean,40.67
SLW-0199,Vest,White,Cotton,Home,138,1,2,Clean,8.0
SLW-0200,Saree,Purple,Cotton,Casual,79,2,2,Dirty,47.33
SLW-0201,Dress,Pink,Cotton,Casual,90,0,2,Clean,40.0
SLW-0202,National Dress,Cream,Silk,Wedding,3,0,4,Clean,96.25
SLW-0203,Saree,Purple,Silk,Religious,13,3,4,Clean,83.75
SLW-0204,School Uniform,Blue,Cotton,Office,56,2,2,Dirty,62.67
SLW-0205,Vest,Black,Cotton,Home,126,1,2,Clean,16.0
SLW-0206,Blouse,Blue,Silk,Wedding,2,4,4,Dirty,97.5
SLW-0207,Blouse,Blue,Silk,Wedding,3,4,4,Dirty,96.25
SLW-0208,Jacket,Brown,Denim,Casual,91,1,5,Clean,69.67
SLW-0209,Dress,Blue,Cotton,Casual,91,1,2,Clean,39.33
SLW-0210,Blouse,Blue,Silk,Wedding,6,2,4,Clean,92.5
SLW-0211,Trouser,Grey,Linen,Office,53,0,2,Clean,55.83
SLW-0212,Dress,Green,Cotton,Casual,95,0,2,Clean,36.67
SLW-0213,National Dress,Cream,Silk,Wedding,3,2,4,Clean,96.25
SLW-0214,Shirt,White,Cotton,Office,53,2,2,Dirty,64.67
SLW-0215,Saree,Gold,Silk,Religious,11,1,4,Clean,86.25
SLW-0216,Jeans,Blue,Denim,Casual,93,5,5,Dirty,69.0
SLW-0217,Salwar,White,Cotton,Casual,82,0,2,Clean,45.33
SLW-0218,Shorts,White,Cotton,Home,136,1,2,Clean,9.33
SLW-0219,School Uniform,Blue,Cotton,Office,47,1,2,Clean,68.67
SLW-0220,Sarong,Green,Batik,Casual,88,1,3,Clean,12.0
SLW-0221,Jeans,Grey,Denim,Casual,104,4,5,Clean,65.33
SLW-0222,Sarong,Green,Cotton,Home,123,2,2,Dirty,18.0
SLW-0223,Dress,Green,Silk,Wedding,3,0,4,Clean,96.25
SLW-0224,T-Shirt,Red,Polyester,Casual,76,3,3,Dirty,62.0
SLW-0225,School Uniform,White,Cotton,Office,47,2,2,Dirty,68.67
SLW-0226,Dress,Green,Silk,Wedding,3,1,4,Clean,96.25
SLW-0227,Shorts,Black,Cotton,Home,138,1,2,Clean,8.0
SLW-0228,Jeans,Grey,Denim,Casual,80,2,5,Clean,73.33
SLW-0229,Trouser,Navy,Cotton,Casual,82,1,2,Clean,45.33
SLW-0230,Blouse,Gold,Silk,Wedding,3,3,4,Clean,96.25
SLW-0231,Kurti,Blue,Silk,Religious,10,4,4,Dirty,87.5
SLW-0232,Leggings,Navy,Polyester,Home,139,3,3,Dirty,30.5
SLW-0233,Kurti,Blue,Cotton,Casual,88,2,2,Dirty,41.33
SLW-0234,Batik Shirt,Brown,Batik,Casual,83,3,3,Dirty,17.0
SLW-0235,Blouse,Gold,Cotton,Casual,103,1,2,Clean,31.33
SLW-0236,Sarong,Green,Batik,Casual,92,2,3,Clean,8.0
SLW-0237,Shirt,Pink,Cotton,Office,37,0,2,Clean,75.33
SLW-0238,Shirt,Pink,Cotton,Office,51,1,2,Clean,66.0
SLW-0239,T-Shirt,Blue,Cotton,Casual,83,1,2,Clean,44.67
SLW-0240,Blouse,Blue,Silk,Wedding,3,0,4,Clean,96.25
SLW-0241,Sarong,Brown,Cotton,Home,131,2,2,Dirty,12.67
SLW-0242,Sarong,Cream,Batik,Casual,87,2,3,Clean,13.0
SLW-0243,Trouser,Black,Linen,Office,53,0,2,Clean,55.83
SLW-0244,Vest,White,Cotton,Home,144,0,2,Clean,4.0
SLW-0245,National Dress,Gold,Cotton,Religious,10,0,2,Clean,93.33
SLW-0246,Saree,Gold,Silk,Religious,11,1,4,Clean,86.25
SLW-0247,Dress,Pink,Silk,Wedding,2,0,4,Clean,97.5
SLW-0248,National Dress,Gold,Cotton,Religious,11,1,2,Clean,92.67
SLW-0249,T-Shirt,Black,Cotton,Casual,100,1,2,Clean,33.33
SLW-0250,Kurti,Blue,Silk,Religious,12,4,4,Dirty,85.0
SLW-0251,Vest,Grey,Cotton,Home,127,0,2,Clean,15.33
SLW-0252,Batik Shirt,Red,Batik,Office,55,0,3,Clean,45.0
SLW-0253,Kurti,Yellow,Cotton,Casual,102,2,2,Dirty,32.0
SLW-0254,Jeans,Blue,Denim,Casual,95,5,5,Dirty,68.33
SLW-0255,Batik Shirt,Blue,Batik,Casual,77,1,3,Clean,23.0
SLW-0256,Salwar,White,Cotton,Casual,84,1,2,Clean,44.0
SLW-0257,Kurtha,White,Cotton,Religious,13,2,2,Dirty,91.33
SLW-0258,Shirt,Pink,Linen,Office,45,2,2,Dirty,62.5
SLW-0259,Trouser,Black,Cotton,Casual,91,1,2,Clean,39.33
SLW-0260,Jacket,Black,Polyester,Casual,93,2,3,Clean,53.5
SLW-0261,Blouse,Blue,Cotton,Casual,81,1,2,Clean,46.0
SLW-0262,Batik Shirt,Red,Batik,Office,49,3,3,Dirty,51.0
SLW-0263,Trouser,Navy,Linen,Office,30,1,2,Clean,75.0
SLW-0264,Shorts,White,Cotton,Home,129,0,2,Clean,14.0
SLW-0265,Kurti,Yellow,Silk,Religious,11,4,4,Dirty,86.25
SLW-0266,Dress,Pink,Cotton,Casual,79,1,2,Clean,47.33
SLW-0267,T-Shirt,Black,Cotton,Casual,99,1,2,Clean,34.0
SLW-0268,Blouse,Green,Silk,Wedding,1,0,4,Clean,98.75
SLW-0269,Jacket,Navy,Denim,Casual,84,3,5,Clean,72.0
SLW-0270,Vest,Black,Cotton,Home,139,1,2,Clean,7.33
SLW-0271,Kurti,Pink,Silk,Religious,14,3,4,Clean,82.5
SLW-0272,Sarong,Blue,Cotton,Home,126,1,2,Clean,16.0
SLW-0273,Saree,Gold,Cotton,Casual,96,1,2,Clean,36.0
SLW-0274,Shirt,Grey,Linen,Office,50,1,2,Clean,58.33
SLW-0275,T-Shirt,Blue,Cotton,Casual,81,2,2,Dirty,46.0
SLW-0276,School Uniform,White,Cotton,Office,52,0,2,Clean,65.33
SLW-0277,Batik Shirt,Multicolor,Batik,Casual,89,1,3,Clean,11.0
SLW-0278,Dress,Blue,Silk,Wedding,2,4,4,Dirty,97.5
SLW-0279,Salwar,Green,Cotton,Casual,88,1,2,Clean,41.33
SLW-0280,Dress,Red,Cotton,Casual,85,0,2,Clean,43.33
SLW-0281,T-Shirt,Red,Polyester,Casual,88,1,3,Clean,56.0
SLW-0282,Salwar,Blue,Cotton,Casual,92,0,2,Clean,38.67
SLW-0283,Trouser,Grey,Cotton,Casual,99,2,2,Dirty,34.0
SLW-0284,Dress,Pink,Silk,Wedding,2,4,4,Dirty,97.5
SLW-0285,Shirt,Grey,Linen,Office,62,1,2,Clean,48.33
SLW-0286,Shirt,Pink,Linen,Office,38,2,2,Dirty,68.33
SLW-0287,T-Shirt,Blue,Cotton,Casual,86,1,2,Clean,42.67
SLW-0288,National Dress,Gold,Silk,Wedding,3,0,4,Clean,96.25
SLW-0289,National Dress,White,Cotton,Religious,12,1,2,Clean,92.0
SLW-0290,Salwar,Pink,Silk,Wedding,2,4,4,Dirty,97.5
SLW-0291,National Dress,Gold,Cotton,Religious,11,0,2,Clean,92.67
SLW-0292,Dress,Pink,Silk,Wedding,2,2,4,Clean,97.5
SLW-0293,Vest,Black,Cotton,Home,133,2,2,Dirty,11.33
SLW-0294,T-Shirt,Black,Polyester,Casual,93,0,3,Clean,53.5
SLW-0295,T-Shirt,Blue,Polyester,Casual,90,1,3,Clean,55.0
SLW-0296,Saree,Red,Cotton,Casual,83,1,2,Clean,44.67
SLW-0297,Salwar,Pink,Cotton,Casual,94,2,2,Dirty,37.33
SLW-0298,T-Shirt,White,Cotton,Casual,90,0,2,Clean,40.0
SLW-0299,School Uniform,White,Cotton,Office,54,1,2,Clean,64.0
SLW-0300,Trouser,Black,Linen,Office,53,1,2,Clean,55.83
SLW-0301,Blouse,Green,Cotton,Casual,82,0,2,Clean,45.33
SLW-0302,Dress,Yellow,Silk,Wedding,2,3,4,Clean,97.5
SLW-0303,Shirt,White,Cotton,Office,54,0,2,Clean,64.0
SLW-0304,T-Shirt,White,Cotton,Casual,92,1,2,Clean,38.67
SLW-0305,Blouse,Blue,Silk,Wedding,2,0,4,Clean,97.5
SLW-0306,Dress,Pink,Silk,Wedding,3,0,4,Clean,96.25
SLW-0307,Trouser,Black,Linen,Office,57,2,2,Dirty,52.5
SLW-0308,Saree,Purple,Silk,Religious,11,1,4,Clean,86.25
SLW-0309,T-Shirt,Black,Polyester,Casual,91,0,3,Clean,54.5
SLW-0310,Batik Shirt,Brown,Batik,Office,48,3,3,Dirty,52.0
SLW-0311,Vest,Grey,Cotton,Home,136,2,2,Dirty,9.33
SLW-0312,Dress,Green,Cotton,Casual,95,1,2,Clean,36.67
SLW-0313,Blouse,Blue,Cotton,Casual,93,2,2,Dirty,38.0
SLW-0314,T-Shirt,Grey,Polyester,Casual,93,0,3,Clean,53.5
SLW-0315,Salwar,Pink,Silk,Wedding,4,0,4,Clean,95.0
SLW-0316,Trouser,Grey,Linen,Office,50,0,2,Clean,58.33
SLW-0317,Trouser,Navy,Cotton,Casual,92,0,2,Clean,38.67
SLW-0318,National Dress,Gold,Silk,Wedding,2,1,4,Clean,97.5
SLW-0319,Batik Shirt,Blue,Batik,Casual,90,1,3,Clean,10.0
SLW-0320,Shorts,Khaki,Cotton,Home,136,1,2,Clean,9.33
SLW-0321,T-Shirt,Black,Polyester,Casual,88,0,3,Clean,56.0
SLW-0322,T-Shirt,Red,Polyester,Casual,92,2,3,Clean,54.0
SLW-0323,Batik Shirt,Red,Batik,Casual,82,1,3,Clean,18.0
SLW-0324,Kurtha,Blue,Cotton,Religious,15,2,2,Dirty,90.0
SLW-0325,Trouser,Khaki,Cotton,Casual,80,0,2,Clean,46.67
SLW-0326,Batik Shirt,Brown,Batik,Office,42,1,3,Clean,58.0
SLW-0327,Leggings,Black,Polyester,Home,147,2,3,Clean,26.5
SLW-0328,Batik Shirt,Brown,Batik,Casual,93,0,3,Clean,7.0
SLW-0329,Kurtha,Blue,Cotton,Religious,12,1,2,Clean,92.0
SLW-0330,Salwar,Blue,Silk,Wedding,3,4,4,Dirty,96.25
SLW-0331,Dress,Yellow,Cotton,Casual,87,0,2,Clean,42.0
SLW-0332,Salwar,Green,Cotton,Casual,81,1,2,Clean,46.0
SLW-0333,T-Shirt,Grey,Cotton,Casual,88,2,2,Dirty,41.33
SLW-0334,Dress,Red,Silk,Wedding,2,3,4,Clean,97.5
SLW-0335,Kurti,Yellow,Silk,Religious,13,0,4,Clean,83.75
SLW-0336,Salwar,Blue,Silk,Wedding,2,2,4,Clean,97.5
SLW-0337,Sarong,Cream,Cotton,Home,131,0,2,Clean,12.67
SLW-0338,Trouser,Black,Cotton,Casual,85,2,2,Dirty,43.33
SLW-0339,Vest,Grey,Cotton,Home,141,2,2,Dirty,6.0
SLW-0340,Kurti,Green,Cotton,Casual,84,0,2,Clean,44.0
SLW-0341,Dress,Yellow,Silk,Wedding,2,4,4,Dirty,97.5
SLW-0342,Leggings,Black,Polyester,Home,139,2,3,Clean,30.5
SLW-0343,Kurti,Yellow,Cotton,Casual,89,1,2,Clean,40.67
SLW-0344,Batik Shirt,Red,Batik,Casual,84,3,3,Dirty,16.0
SLW-0345,Shorts,White,Cotton,Home,134,1,2,Clean,10.67
SLW-0346,Trouser,Navy,Cotton,Casual,89,0,2,Clean,40.67
SLW-0347,Shirt,Pink,Cotton,Office,41,1,2,Clean,72.67
SLW-0348,T-Shirt,Grey,Polyester,Casual,78,3,3,Dirty,61.0
SLW-0349,Sarong,White,Batik,Casual,82,3,3,Dirty,18.0
SLW-0350,Shirt,Grey,Cotton,Office,48,1,2,Clean,68.0
SLW-0351,Batik Shirt,Blue,Batik,Office,51,3,3,Dirty,49.0
SLW-0352,Trouser,Khaki,Cotton,Casual,98,2,2,Dirty,34.67
SLW-0353,Shorts,Blue,Cotton,Home,144,0,2,Clean,4.0
SLW-0354,Jacket,Brown,Polyester,Casual,86,2,3,Clean,57.0
SLW-0355,Trouser,Black,Linen,Office,49,1,2,Clean,59.17
SLW-0356,National Dress,Gold,Cotton,Religious,10,1,2,Clean,93.33
SLW-0357,Saree,Green,Silk,Religious,11,2,4,Clean,86.25
SLW-0358,Jacket,Brown,Denim,Casual,85,5,5,Dirty,71.67
SLW-0359,Batik Shirt,Brown,Batik,Office,51,0,3,Clean,49.0
SLW-0360,Salwar,Blue,Cotton,Casual,82,0,2,Clean,45.33
