bust,waist,hips,height,body_shape,image_path
109.9,111.7,111.8,151.1,Apple,data/model1_body_shape\images\02099.png
104.1,94.3,104.0,175.7,Rectangle,data/model1_body_shape\images\03599.png
108.5,78.6,96.2,173.0,InvertedTriangle,data/model1_body_shape\images\04121.png
100.2,68.5,102.8,162.2,Hourglass,data/model1_body_shape\images\00029.png
85.5,61.0,89.4,160.3,Hourglass,data/model1_body_shape\images\00065.png
102.8,72.9,107.9,166.9,Hourglass,data/model1_body_shape\images\00838.png
95.8,80.3,90.8,157.3,Rectangle,data/model1_body_shape\images\03906.png
97.4,89.0,99.1,155.6,Rectangle,data/model1_body_shape\images\03773.png
111.1,91.4,101.9,158.8,InvertedTriangle,data/model1_body_shape\images\04635.png
82.6,72.5,79.5,165.4,Rectangle,data/model1_body_shape\images\03161.png
105.9,104.7,100.1,170.1,Apple,data/model1_body_shape\images\02659.png
89.5,68.7,79.9,154.5,InvertedTriangle,data/model1_body_shape\images\04615.png
96.0,68.8,79.0,159.5,InvertedTriangle,data/model1_body_shape\images\04628.png
95.2,88.7,92.0,163.7,Apple,data/model1_body_shape\images\02451.png
107.2,107.1,110.3,152.0,Apple,data/model1_body_shape\images\02846.png
85.4,72.0,100.5,166.2,Pear,data/model1_body_shape\images\01144.png
95.4,86.8,97.5,158.6,Rectangle,data/model1_body_shape\images\03078.png
89.3,76.0,102.7,164.5,Pear,data/model1_body_shape\images\01103.png
104.0,61.8,103.9,173.7,Hourglass,data/model1_body_shape\images\00168.png
104.4,101.5,114.3,159.4,Pear,data/model1_body_shape\images\01670.png
103.5,107.9,106.0,159.4,Apple,data/model1_body_shape\images\02570.png
89.8,85.4,92.0,157.4,Apple,data/model1_body_shape\images\02377.png
110.9,105.9,97.6,160.8,InvertedTriangle,data/model1_body_shape\images\04395.png
111.9,88.5,98.3,158.1,InvertedTriangle,data/model1_body_shape\images\04257.png
93.7,76.7,92.0,162.1,Rectangle,data/model1_body_shape\images\03862.png
92.7,62.6,91.3,161.4,Hourglass,data/model1_body_shape\images\00023.png
89.7,87.2,90.7,164.8,Apple,data/model1_body_shape\images\02633.png
94.8,84.2,90.4,153.1,Rectangle,data/model1_body_shape\images\03340.png
105.5,107.6,111.0,151.5,Apple,data/model1_body_shape\images\02215.png
88.5,72.2,88.9,155.7,Rectangle,data/model1_body_shape\images\03682.png
103.9,90.0,88.1,167.8,InvertedTriangle,data/model1_body_shape\images\04724.png
90.2,62.8,102.5,157.7,Pear,data/model1_body_shape\images\01907.png
104.5,81.1,100.1,158.4,Hourglass,data/model1_body_shape\images\00084.png
104.9,61.3,99.7,170.7,Hourglass,data/model1_body_shape\images\00227.png
103.0,81.6,108.7,152.1,Hourglass,data/model1_body_shape\images\00296.png
84.2,69.6,100.8,171.2,Pear,data/model1_body_shape\images\01001.png
103.8,104.6,100.0,166.6,Apple,data/model1_body_shape\images\02138.png
91.9,72.8,92.5,162.8,Hourglass,data/model1_body_shape\images\00711.png
110.2,105.0,109.4,172.3,Apple,data/model1_body_shape\images\02801.png
87.2,86.1,82.2,169.2,Apple,data/model1_body_shape\images\02527.png
104.0,90.4,103.3,162.8,Rectangle,data/model1_body_shape\images\03752.png
103.6,92.5,100.1,160.3,Rectangle,data/model1_body_shape\images\03321.png
97.2,82.4,91.7,167.0,Rectangle,data/model1_body_shape\images\03181.png
106.3,95.4,97.1,158.0,InvertedTriangle,data/model1_body_shape\images\04183.png
102.7,80.2,113.1,176.5,Pear,data/model1_body_shape\images\01615.png
101.0,94.3,106.2,178.3,Rectangle,data/model1_body_shape\images\03024.png
81.1,76.7,95.0,173.4,Pear,data/model1_body_shape\images\01413.png
88.4,59.0,85.1,159.5,Hourglass,data/model1_body_shape\images\00763.png
100.2,78.9,101.1,169.0,Hourglass,data/model1_body_shape\images\00655.png
96.8,65.2,79.1,165.5,InvertedTriangle,data/model1_body_shape\images\04797.png
87.0,75.4,87.8,154.3,Rectangle,data/model1_body_shape\images\03849.png
111.2,99.5,94.6,169.7,InvertedTriangle,data/model1_body_shape\images\04153.png
90.0,59.5,88.0,168.2,Hourglass,data/model1_body_shape\images\00468.png
82.9,58.3,81.4,154.8,Hourglass,data/model1_body_shape\images\00157.png
93.2,70.5,102.5,169.5,Pear,data/model1_body_shape\images\01295.png
102.2,82.4,101.6,160.0,Hourglass,data/model1_body_shape\images\00497.png
92.4,76.0,79.0,150.1,InvertedTriangle,data/model1_body_shape\images\04740.png
97.8,99.0,97.6,163.4,Apple,data/model1_body_shape\images\02940.png
93.4,79.0,92.1,170.6,Rectangle,data/model1_body_shape\images\03456.png
90.9,69.4,90.0,162.3,Hourglass,data/model1_body_shape\images\00373.png
89.1,70.0,94.5,174.1,Hourglass,data/model1_body_shape\images\00079.png
94.3,88.8,105.5,160.5,Pear,data/model1_body_shape\images\01553.png
91.9,77.2,108.2,170.8,Pear,data/model1_body_shape\images\01669.png
102.6,95.4,102.9,173.0,Apple,data/model1_body_shape\images\02131.png
108.4,70.6,96.0,159.5,InvertedTriangle,data/model1_body_shape\images\04439.png
105.7,84.9,111.5,167.2,Hourglass,data/model1_body_shape\images\00465.png
88.7,61.4,83.5,162.2,Hourglass,data/model1_body_shape\images\00248.png
90.3,61.2,87.4,165.7,Hourglass,data/model1_body_shape\images\00931.png
101.3,92.9,112.2,167.5,Pear,data/model1_body_shape\images\01335.png
89.9,81.3,77.9,174.3,InvertedTriangle,data/model1_body_shape\images\04524.png
104.0,77.5,118.0,151.5,Pear,data/model1_body_shape\images\01338.png
84.8,76.4,95.6,161.7,Pear,data/model1_body_shape\images\01406.png
89.1,66.5,102.1,162.5,Pear,data/model1_body_shape\images\01090.png
104.4,96.4,92.6,182.2,InvertedTriangle,data/model1_body_shape\images\04209.png
95.2,67.1,95.9,159.8,Hourglass,data/model1_body_shape\images\00742.png
101.8,97.1,96.6,155.4,Apple,data/model1_body_shape\images\02323.png
104.0,100.2,109.5,164.0,Rectangle,data/model1_body_shape\images\03601.png
103.6,102.1,106.5,145.3,Apple,data/model1_body_shape\images\02123.png
105.9,101.7,103.6,164.8,Apple,data/model1_body_shape\images\02094.png
85.9,60.1,86.6,161.4,Hourglass,data/model1_body_shape\images\00240.png
86.5,82.9,81.5,157.0,Apple,data/model1_body_shape\images\02351.png
95.0,69.7,108.0,157.5,Pear,data/model1_body_shape\images\01370.png
105.3,95.7,116.9,154.8,Pear,data/model1_body_shape\images\01057.png
98.2,92.2,83.3,159.9,InvertedTriangle,data/model1_body_shape\images\04816.png
96.3,60.3,91.8,154.3,Hourglass,data/model1_body_shape\images\00199.png
105.4,107.7,106.7,163.5,Apple,data/model1_body_shape\images\02280.png
97.9,86.6,81.3,160.5,InvertedTriangle,data/model1_body_shape\images\04749.png
87.4,87.4,90.1,165.9,Apple,data/model1_body_shape\images\02220.png
95.9,65.8,84.8,170.3,InvertedTriangle,data/model1_body_shape\images\04771.png
88.8,90.2,92.7,161.0,Apple,data/model1_body_shape\images\02819.png
87.7,75.8,83.5,170.7,Rectangle,data/model1_body_shape\images\03150.png
109.0,90.1,99.2,153.0,InvertedTriangle,data/model1_body_shape\images\04256.png
99.4,85.2,99.6,155.5,Rectangle,data/model1_body_shape\images\03107.png
90.8,64.8,102.1,151.9,Pear,data/model1_body_shape\images\01973.png
74.4,67.7,92.0,167.4,Pear,data/model1_body_shape\images\01375.png
92.5,84.1,93.5,171.3,Rectangle,data/model1_body_shape\images\03968.png
109.4,91.1,94.5,166.5,InvertedTriangle,data/model1_body_shape\images\04062.png
94.1,76.8,76.2,164.7,InvertedTriangle,data/model1_body_shape\images\04445.png
80.9,64.9,75.7,158.8,Rectangle,data/model1_body_shape\images\03557.png
102.4,64.7,107.5,159.8,Hourglass,data/model1_body_shape\images\00964.png
105.0,59.0,100.3,145.8,Hourglass,data/model1_body_shape\images\00179.png
90.5,76.5,85.6,167.6,Rectangle,data/model1_body_shape\images\03698.png
90.0,78.5,86.0,159.3,Rectangle,data/model1_body_shape\images\03821.png
88.1,70.4,75.4,171.6,InvertedTriangle,data/model1_body_shape\images\04878.png
87.9,77.5,83.1,145.0,Rectangle,data/model1_body_shape\images\03899.png
109.4,103.8,95.0,157.5,InvertedTriangle,data/model1_body_shape\images\04487.png
92.2,80.9,87.5,174.2,Rectangle,data/model1_body_shape\images\03238.png
92.1,86.4,91.5,166.8,Apple,data/model1_body_shape\images\02974.png
91.5,75.5,86.8,160.2,Rectangle,data/model1_body_shape\images\03580.png
91.9,89.8,87.6,161.5,Apple,data/model1_body_shape\images\02887.png
99.6,99.7,93.7,167.8,Apple,data/model1_body_shape\images\02575.png
97.2,65.3,115.1,158.1,Pear,data/model1_body_shape\images\01419.png
98.1,84.1,98.2,155.9,Rectangle,data/model1_body_shape\images\03907.png
102.1,87.5,89.5,158.9,InvertedTriangle,data/model1_body_shape\images\04673.png
103.3,77.7,88.5,166.5,InvertedTriangle,data/model1_body_shape\images\04902.png
79.2,73.1,92.7,160.8,Pear,data/model1_body_shape\images\01860.png
89.8,63.8,88.3,169.9,Hourglass,data/model1_body_shape\images\00008.png
106.1,101.7,105.1,162.7,Apple,data/model1_body_shape\images\02894.png
87.0,79.7,82.0,164.1,Apple,data/model1_body_shape\images\02847.png
85.9,75.3,82.3,162.9,Rectangle,data/model1_body_shape\images\03664.png
94.0,59.9,94.3,161.5,Hourglass,data/model1_body_shape\images\00144.png
86.5,88.4,82.6,164.8,Apple,data/model1_body_shape\images\02104.png
85.8,76.8,91.2,165.7,Rectangle,data/model1_body_shape\images\03143.png
82.7,64.2,85.6,167.4,Hourglass,data/model1_body_shape\images\00841.png
83.5,67.5,99.1,154.5,Pear,data/model1_body_shape\images\01128.png
99.6,70.6,98.9,163.6,Hourglass,data/model1_body_shape\images\00151.png
104.3,87.5,102.3,160.6,Rectangle,data/model1_body_shape\images\03591.png
101.9,81.3,115.2,176.0,Pear,data/model1_body_shape\images\01052.png
86.6,74.1,104.2,163.5,Pear,data/model1_body_shape\images\01590.png
98.7,84.4,93.6,160.0,Rectangle,data/model1_body_shape\images\03008.png
92.6,93.8,95.7,159.4,Apple,data/model1_body_shape\images\02029.png
104.7,92.6,103.5,163.8,Rectangle,data/model1_body_shape\images\03418.png
100.9,91.4,118.1,165.9,Pear,data/model1_body_shape\images\01807.png
93.0,85.6,87.4,153.3,Apple,data/model1_body_shape\images\02696.png
93.3,87.1,97.2,171.1,Rectangle,data/model1_body_shape\images\03039.png
96.0,70.1,90.2,164.8,Hourglass,data/model1_body_shape\images\00472.png
103.9,94.3,109.5,162.4,Rectangle,data/model1_body_shape\images\03289.png
111.7,91.0,96.2,158.2,InvertedTriangle,data/model1_body_shape\images\04074.png
92.9,79.9,89.2,165.8,Rectangle,data/model1_body_shape\images\03496.png
86.2,63.1,85.3,162.1,Hourglass,data/model1_body_shape\images\00279.png
83.5,72.8,92.8,145.0,Pear,data/model1_body_shape\images\01741.png
93.5,82.4,77.8,164.2,InvertedTriangle,data/model1_body_shape\images\04624.png
94.3,96.5,96.4,162.7,Apple,data/model1_body_shape\images\02886.png
108.8,97.4,119.7,163.7,Pear,data/model1_body_shape\images\01941.png
105.9,66.5,110.5,165.2,Hourglass,data/model1_body_shape\images\00100.png
102.7,106.5,102.7,164.2,Apple,data/model1_body_shape\images\02804.png
96.7,83.4,97.1,151.7,Rectangle,data/model1_body_shape\images\03570.png
84.4,70.9,80.9,173.6,Rectangle,data/model1_body_shape\images\03684.png
85.0,70.9,82.3,161.6,Rectangle,data/model1_body_shape\images\03661.png
94.8,70.8,92.5,163.4,Hourglass,data/model1_body_shape\images\00530.png
91.0,88.6,108.1,163.5,Pear,data/model1_body_shape\images\01886.png
87.0,61.6,83.2,160.3,Hourglass,data/model1_body_shape\images\00681.png
82.4,72.2,85.1,164.5,Rectangle,data/model1_body_shape\images\03794.png
84.7,68.1,80.8,150.6,Rectangle,data/model1_body_shape\images\03944.png
110.4,73.7,98.1,156.2,InvertedTriangle,data/model1_body_shape\images\04666.png
100.4,101.6,94.9,151.9,Apple,data/model1_body_shape\images\02018.png
78.5,66.4,92.1,158.2,Pear,data/model1_body_shape\images\01096.png
98.1,71.0,101.7,159.7,Hourglass,data/model1_body_shape\images\00829.png
108.1,110.3,111.4,161.0,Apple,data/model1_body_shape\images\02805.png
100.9,86.9,97.5,155.6,Rectangle,data/model1_body_shape\images\03829.png
92.8,79.1,77.2,160.5,InvertedTriangle,data/model1_body_shape\images\04381.png
100.8,86.1,96.4,155.3,Rectangle,data/model1_body_shape\images\03891.png
100.7,65.8,103.9,158.0,Hourglass,data/model1_body_shape\images\00764.png
104.0,97.7,99.6,177.5,Apple,data/model1_body_shape\images\02767.png
89.3,77.6,78.2,168.7,InvertedTriangle,data/model1_body_shape\images\04328.png
100.3,88.3,97.9,163.5,Rectangle,data/model1_body_shape\images\03295.png
89.6,88.8,85.3,163.8,Apple,data/model1_body_shape\images\02194.png
88.0,91.7,83.3,149.6,Apple,data/model1_body_shape\images\02357.png
84.5,71.3,85.8,159.6,Rectangle,data/model1_body_shape\images\03425.png
82.0,74.4,87.5,168.4,Rectangle,data/model1_body_shape\images\03979.png
103.1,72.3,100.9,165.1,Hourglass,data/model1_body_shape\images\00911.png
98.1,88.3,97.1,160.6,Rectangle,data/model1_body_shape\images\03145.png
93.5,67.0,98.4,172.4,Hourglass,data/model1_body_shape\images\00999.png
80.9,70.9,78.9,154.3,Rectangle,data/model1_body_shape\images\03653.png
111.5,107.3,107.6,149.2,Apple,data/model1_body_shape\images\02483.png
88.5,69.4,72.7,168.2,InvertedTriangle,data/model1_body_shape\images\04076.png
99.7,102.7,95.4,148.4,Apple,data/model1_body_shape\images\02370.png
104.0,96.7,93.7,167.6,InvertedTriangle,data/model1_body_shape\images\04838.png
95.9,68.7,94.1,160.4,Hourglass,data/model1_body_shape\images\00033.png
99.5,88.0,94.3,169.8,Rectangle,data/model1_body_shape\images\03789.png
90.1,69.0,106.0,152.5,Pear,data/model1_body_shape\images\01020.png
104.1,75.6,114.9,161.7,Pear,data/model1_body_shape\images\01647.png
90.1,58.1,86.0,157.4,Hourglass,data/model1_body_shape\images\00733.png
95.2,85.5,82.0,156.8,InvertedTriangle,data/model1_body_shape\images\04582.png
87.0,70.8,83.2,155.1,Rectangle,data/model1_body_shape\images\03274.png
80.4,64.8,93.4,176.8,Pear,data/model1_body_shape\images\01620.png
87.1,76.0,84.5,156.9,Rectangle,data/model1_body_shape\images\03135.png
104.5,105.2,100.0,159.7,Apple,data/model1_body_shape\images\02689.png
110.2,111.8,112.7,165.5,Apple,data/model1_body_shape\images\02707.png
87.3,61.3,89.2,151.4,Hourglass,data/model1_body_shape\images\00297.png
101.7,98.7,105.1,157.4,Apple,data/model1_body_shape\images\02339.png
97.1,67.1,97.4,155.3,Hourglass,data/model1_body_shape\images\00653.png
99.5,87.4,102.5,178.1,Rectangle,data/model1_body_shape\images\03774.png
85.7,74.0,99.7,150.3,Pear,data/model1_body_shape\images\01255.png
92.9,86.3,81.8,165.7,InvertedTriangle,data/model1_body_shape\images\04520.png
102.4,77.4,103.5,165.4,Hourglass,data/model1_body_shape\images\00230.png
89.2,76.2,87.7,171.9,Rectangle,data/model1_body_shape\images\03276.png
90.4,78.2,89.8,176.5,Rectangle,data/model1_body_shape\images\03230.png
98.5,79.0,99.0,160.8,Hourglass,data/model1_body_shape\images\00691.png
103.5,100.7,99.4,172.4,Apple,data/model1_body_shape\images\02754.png
98.8,94.8,89.4,159.9,InvertedTriangle,data/model1_body_shape\images\04863.png
103.1,80.3,103.7,159.9,Hourglass,data/model1_body_shape\images\00969.png
94.0,75.1,95.7,158.2,Hourglass,data/model1_body_shape\images\00633.png
104.0,73.9,94.0,169.4,InvertedTriangle,data/model1_body_shape\images\04092.png
109.7,93.9,99.2,165.8,InvertedTriangle,data/model1_body_shape\images\04077.png
93.0,63.2,109.8,160.5,Pear,data/model1_body_shape\images\01321.png
89.6,86.2,102.0,156.3,Pear,data/model1_body_shape\images\01831.png
106.8,106.0,111.1,149.0,Apple,data/model1_body_shape\images\02178.png
79.1,73.6,93.6,164.8,Pear,data/model1_body_shape\images\01417.png
81.3,66.5,93.9,151.8,Pear,data/model1_body_shape\images\01782.png
97.9,78.7,80.9,153.2,InvertedTriangle,data/model1_body_shape\images\04715.png
94.3,74.7,76.3,166.1,InvertedTriangle,data/model1_body_shape\images\04701.png
92.3,81.4,75.7,155.1,InvertedTriangle,data/model1_body_shape\images\04118.png
106.5,98.1,116.7,161.7,Pear,data/model1_body_shape\images\01652.png
89.0,86.3,107.0,156.6,Pear,data/model1_body_shape\images\01483.png
101.9,95.9,97.4,169.3,Apple,data/model1_body_shape\images\02275.png
96.2,62.9,92.1,160.4,Hourglass,data/model1_body_shape\images\00877.png
102.9,92.0,98.3,154.0,Rectangle,data/model1_body_shape\images\03525.png
101.8,101.6,101.1,164.4,Apple,data/model1_body_shape\images\02016.png
89.2,62.5,92.5,168.9,Hourglass,data/model1_body_shape\images\00426.png
97.0,61.2,102.0,164.3,Hourglass,data/model1_body_shape\images\00626.png
99.3,62.6,110.2,160.1,Pear,data/model1_body_shape\images\01589.png
86.1,82.4,87.5,162.0,Apple,data/model1_body_shape\images\02223.png
107.0,107.2,112.5,164.2,Apple,data/model1_body_shape\images\02217.png
105.6,71.5,90.0,160.7,InvertedTriangle,data/model1_body_shape\images\04483.png
92.2,85.3,106.0,167.1,Pear,data/model1_body_shape\images\01485.png
97.1,94.4,106.8,161.3,Pear,data/model1_body_shape\images\01739.png
97.6,91.6,95.3,145.0,Apple,data/model1_body_shape\images\02480.png
98.3,90.5,93.3,158.7,Apple,data/model1_body_shape\images\02584.png
94.7,90.3,96.6,152.3,Apple,data/model1_body_shape\images\02893.png
93.5,73.8,96.6,145.1,Hourglass,data/model1_body_shape\images\00149.png
100.8,66.1,96.5,160.1,Hourglass,data/model1_body_shape\images\00676.png
101.5,83.8,112.1,166.4,Pear,data/model1_body_shape\images\01261.png
104.9,89.3,94.5,179.0,InvertedTriangle,data/model1_body_shape\images\04917.png
98.4,61.6,94.1,162.5,Hourglass,data/model1_body_shape\images\00012.png
81.9,66.7,93.0,159.1,Pear,data/model1_body_shape\images\01833.png
91.1,79.1,88.5,166.7,Rectangle,data/model1_body_shape\images\03248.png
80.2,72.6,93.7,171.3,Pear,data/model1_body_shape\images\01491.png
109.3,111.2,110.6,155.2,Apple,data/model1_body_shape\images\02727.png
87.2,79.3,91.4,178.9,Rectangle,data/model1_body_shape\images\03686.png
94.1,89.6,109.2,161.4,Pear,data/model1_body_shape\images\01424.png
108.4,89.7,91.8,172.5,InvertedTriangle,data/model1_body_shape\images\04605.png
97.6,85.4,81.7,150.0,InvertedTriangle,data/model1_body_shape\images\04595.png
101.2,80.0,106.7,164.1,Hourglass,data/model1_body_shape\images\00731.png
101.6,68.0,112.0,155.0,Pear,data/model1_body_shape\images\01231.png
95.1,83.5,106.4,168.8,Pear,data/model1_body_shape\images\01634.png
97.0,83.8,92.2,167.4,Rectangle,data/model1_body_shape\images\03936.png
96.5,84.1,107.5,163.3,Pear,data/model1_body_shape\images\01210.png
85.4,73.5,89.3,157.5,Rectangle,data/model1_body_shape\images\03268.png
81.9,68.8,98.8,159.2,Pear,data/model1_body_shape\images\01934.png
97.7,71.0,95.8,149.0,Hourglass,data/model1_body_shape\images\00553.png
93.1,70.6,98.4,152.5,Hourglass,data/model1_body_shape\images\00491.png
102.5,106.9,107.2,161.5,Apple,data/model1_body_shape\images\02962.png
98.8,101.6,103.9,161.0,Apple,data/model1_body_shape\images\02329.png
101.5,104.3,105.2,157.9,Apple,data/model1_body_shape\images\02195.png
82.6,76.6,87.2,160.7,Rectangle,data/model1_body_shape\images\03064.png
102.3,69.1,108.2,167.0,Hourglass,data/model1_body_shape\images\00657.png
103.0,98.6,103.7,164.9,Apple,data/model1_body_shape\images\02374.png
99.1,102.1,97.0,157.2,Apple,data/model1_body_shape\images\02225.png
101.2,75.5,87.3,164.5,InvertedTriangle,data/model1_body_shape\images\04264.png
85.3,74.6,97.4,162.3,Pear,data/model1_body_shape\images\01170.png
91.3,58.2,93.0,167.5,Hourglass,data/model1_body_shape\images\00132.png
97.7,59.2,95.0,165.3,Hourglass,data/model1_body_shape\images\00471.png
85.7,72.1,85.4,160.6,Rectangle,data/model1_body_shape\images\03225.png
100.1,62.6,112.9,160.4,Pear,data/model1_body_shape\images\01405.png
88.9,86.0,85.4,174.4,Apple,data/model1_body_shape\images\02876.png
108.4,93.3,91.6,163.5,InvertedTriangle,data/model1_body_shape\images\04504.png
95.0,75.3,78.3,153.4,InvertedTriangle,data/model1_body_shape\images\04692.png
104.4,99.9,100.4,156.7,Apple,data/model1_body_shape\images\02826.png
83.3,58.6,77.3,160.3,Hourglass,data/model1_body_shape\images\00287.png
105.4,96.0,118.9,162.4,Pear,data/model1_body_shape\images\01869.png
94.2,83.3,93.4,158.2,Rectangle,data/model1_body_shape\images\03114.png
86.0,75.2,86.3,156.2,Rectangle,data/model1_body_shape\images\03625.png
90.5,98.4,95.8,156.2,Apple,data/model1_body_shape\images\02312.png
110.5,77.6,95.8,155.0,InvertedTriangle,data/model1_body_shape\images\04923.png
108.3,63.2,120.0,162.2,Pear,data/model1_body_shape\images\01618.png
85.9,60.6,87.2,164.8,Hourglass,data/model1_body_shape\images\00994.png
105.3,97.6,117.6,158.2,Pear,data/model1_body_shape\images\01803.png
92.0,92.0,94.7,171.2,Apple,data/model1_body_shape\images\02642.png
108.8,82.3,93.9,167.0,InvertedTriangle,data/model1_body_shape\images\04802.png
88.5,77.5,89.9,163.2,Rectangle,data/model1_body_shape\images\03535.png
95.2,86.4,85.4,151.1,InvertedTriangle,data/model1_body_shape\images\04831.png
93.3,78.6,91.9,161.6,Rectangle,data/model1_body_shape\images\03911.png
96.5,100.4,101.2,159.1,Apple,data/model1_body_shape\images\02107.png
91.9,80.7,88.4,153.1,Rectangle,data/model1_body_shape\images\03044.png
100.7,76.0,106.0,168.8,Hourglass,data/model1_body_shape\images\00416.png
84.2,58.6,79.1,156.8,Hourglass,data/model1_body_shape\images\00977.png
96.0,96.6,96.9,159.4,Apple,data/model1_body_shape\images\02417.png
90.3,59.3,89.3,164.7,Hourglass,data/model1_body_shape\images\00505.png
99.9,94.2,87.4,160.0,InvertedTriangle,data/model1_body_shape\images\04152.png
107.9,74.2,95.6,174.2,InvertedTriangle,data/model1_body_shape\images\04255.png
97.6,89.4,99.0,168.6,Rectangle,data/model1_body_shape\images\03941.png
102.4,59.2,99.1,169.5,Hourglass,data/model1_body_shape\images\00414.png
94.6,74.5,79.9,170.6,InvertedTriangle,data/model1_body_shape\images\04148.png
97.0,85.4,108.0,158.9,Pear,data/model1_body_shape\images\01183.png
100.3,80.0,106.0,156.5,Hourglass,data/model1_body_shape\images\00485.png
87.3,58.0,92.5,159.8,Hourglass,data/model1_body_shape\images\00893.png
93.3,67.6,99.0,163.2,Hourglass,data/model1_body_shape\images\00805.png
89.7,64.5,88.1,167.1,Hourglass,data/model1_body_shape\images\00555.png
101.6,84.6,99.5,164.8,Rectangle,data/model1_body_shape\images\03825.png
99.0,76.1,111.7,156.4,Pear,data/model1_body_shape\images\01197.png
102.2,94.0,91.6,169.1,InvertedTriangle,data/model1_body_shape\images\04253.png
106.3,84.5,94.2,160.2,InvertedTriangle,data/model1_body_shape\images\04058.png
84.4,71.2,94.0,151.9,Pear,data/model1_body_shape\images\01293.png
93.7,89.6,93.7,152.9,Apple,data/model1_body_shape\images\02221.png
92.4,78.6,89.8,156.7,Rectangle,data/model1_body_shape\images\03504.png
98.8,84.5,100.1,156.2,Rectangle,data/model1_body_shape\images\03654.png
108.2,98.2,94.9,163.2,InvertedTriangle,data/model1_body_shape\images\04758.png
80.5,66.9,79.9,146.6,Rectangle,data/model1_body_shape\images\03006.png
96.9,103.8,100.5,164.9,Apple,data/model1_body_shape\images\02093.png
111.0,112.2,116.4,177.3,Apple,data/model1_body_shape\images\02187.png
93.0,82.5,98.1,156.3,Rectangle,data/model1_body_shape\images\03036.png
104.5,90.6,100.7,167.6,Rectangle,data/model1_body_shape\images\03918.png
93.5,63.2,107.5,150.9,Pear,data/model1_body_shape\images\01272.png
101.7,66.2,96.8,171.0,Hourglass,data/model1_body_shape\images\00290.png
101.0,82.8,90.8,163.0,InvertedTriangle,data/model1_body_shape\images\04827.png
86.3,66.7,88.4,166.4,Hourglass,data/model1_body_shape\images\00252.png
96.3,82.4,98.2,165.2,Rectangle,data/model1_body_shape\images\03245.png
101.9,79.8,107.6,150.8,Hourglass,data/model1_body_shape\images\00350.png
90.7,85.2,108.4,156.5,Pear,data/model1_body_shape\images\01187.png
92.9,76.7,109.3,152.2,Pear,data/model1_body_shape\images\01961.png
